XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/Publisher Type,Description/Summary,FedoraCollection,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,DateAttribute,DateCreated,OriginalBroadcastDate,Century,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,Language,TopicalSubject,GeographicalSubject,CorpSubject,PersonalSubject
UMAM,,,,,MAD 028,scpa-023124-0001,00:46:03,00:46:03,,George Blood Audio Video,,2013-09-23,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 029,,,,,,,,,,,"Madrigal Singers, White House Christmas Concert with Richard Merrill, December 20, 1965","White House with Richard Merrill, Christmas",,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1965-12-20,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,District of Columbia,Washington,,beginning cut off; audio buzz during first three minutes; hiss,yes,,,,,
UMAM,,,,,MAD 029,scpa-023125-0001,00:25:19,00:25:19,,George Blood Audio Video,,2013-09-23,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 030,,,,,,,,,,,"Madrigal Singers, March 6, 1966",University of Maryland: Madrigal Singers,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1966-03-06,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,beginning cut off; audio distortion; most of recording is hot; end cut off,yes,,,,,
UMAM,,,,,MAD 030,scpa-023126-0001,00:20:25,00:20:25,,George Blood Audio Video,,2013-09-24,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 031,,,,,,,,,,,"Madrigal Singers, tour Tunis, native songs, part 1, May 5, 1964",Maryland Singers - Tour Tunis Native Songs Professional Part 1,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1964-05-05,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Tunisia,Tunis,,end cut off,yes,,,,,
UMAM,,,,,MAD 031,scpa-023127-0001,00:28:25,00:28:25,,George Blood Audio Video,,2013-09-24,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 032,,,,,,,,,,,"Madrigal Singers, tour Tunis, native songs, part 2, May 5, 1964",Maryland Singers - Tour Tunis Native Songs Professional Part 2,,,Madrigal Singers,corpName,University of Maryland,corpName,"Program attached to Part 1, MAD 031.",Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1964-05-05,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Tunisia,Tunis,,"interstitial errors at 00:06:02, 00:12:36, and 00:14:16",yes,,,,,
UMAM,,,,,MAD 032,scpa-023128-0001,00:32:05,00:32:05,,George Blood Audio Video,,2013-09-24,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 033,,,,,,,,,,,"Madrigal Singers in Tawes Fine Arts building, May 7, 1966",Madrigal Singers in Tawes Fine Arts Building,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1966-05-07,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,interstitial error at 00:25:13,yes,,,,,
UMAM,,,,,MAD 033,scpa-023129-0001,00:27:12,00:27:12,,George Blood Audio Video,,2013-09-24,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 034,,,,,,,,,,,"Madrigal Singers, White House Christmas Concert, part 1, December 20, 1965",The White House Part 1,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1965-12-20,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,District of Columbia,Washington,,,yes,,,,,
UMAM,,,,,MAD 034,scpa-023130-0001,00:25:46,00:25:46,,George Blood Audio Video,,2013-09-24,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 035,,,,,,,,,,,"Madrigal Singers, White House Christmas Concert, part 2, December 20, 1965",The White House Part 2,,,Madrigal Singers,corpName,University of Maryland,corpName,"Program attached to Part 1, MAD 034.",Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1965-12-20,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,District of Columbia,Washington,,buzz; hiss; end cut off; same asMAD 036,yes,,,,,
UMAM,,,,,MAD 035,scpa-023131-0001,00:25:19,00:25:19,,George Blood Audio Video,,2013-09-24,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 036,,,,,,,,,,,"Madrigal Singers, White House Christmas Concert, part 3, December 20, 1965",The White House Part 3,,,Madrigal Singers,corpName,University of Maryland,corpName,"Program attached to Part 1, MAD 034.",Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1965-12-20,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,District of Columbia,Washington,,buzz; hiss; end cut off; same as MAD 035,yes,,,,,
UMAM,,,,,MAD 036,scpa-023132-0001,00:25:21,00:25:21,,George Blood Audio Video,,2013-09-24,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 037,,,,,,,,,,,"Madrigal Singers, Christmas Concert, ""An Olde English Christmas,"" on WRC 4, December 3, 1967",Madrigal Singers Christmas 1967 An Olde English Christmas WRC 4,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1967-12-03,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,,yes,,,,,
UMAM,,,,,MAD 037,scpa-023133-0001,00:23:55,00:23:55,,George Blood Audio Video,,2013-09-24,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 038,,,,,,,,,,,"Madrigal Singers, Christmas music, December 5, 1968",Christmas Music,,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1968-12-05,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss; audio drop outs; left channel is stronger than right channel,yes,,,,,
UMAM,,,,,MAD 038,scpa-023134-0001,00:22:41,00:22:41,,George Blood Audio Video,,2013-09-24,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 039,,,,,,,,,,,"Madrigal Singers, State Department tour, Chiana and Patras, Greece, spring 1964","Madrigal Singers - State Dept. Tour Greece Chorus: Chania, Patras",,,Madrigal Singers,corpName,University of Maryland,corpName,Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1964,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Greece,Chiana; Patras,,"distortion; from technician's notes: ""Over saturated on original tape. Speed change and backward in the middle of tape in stereo.""",yes,,,,,
UMAM,,,,,MAD 039,scpa-023135-0001,00:13:36,00:13:36,,George Blood Audio Video,,2013-09-24,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 039,scpa-023135-0002,00:11:16,00:11:16,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 040,,,,,,,,,,,"Madrigal Singers, undated",Madrigal,,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,undated,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,,yes,,,,,
UMAM,,,,,MAD 040,scpa-023136-0001,00:12:13,00:12:13,,George Blood Audio Video,,2013-09-24,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 041,,,,,,,,,,,"Madrigal Singers rehearsal, April 7, 1961",Madrigal Singers Rehearsal ,,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1961-04-07,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,beginning cut off; numerous interstitial errors; pops; end cut off,yes,,,,,
UMAM,,,,,MAD 041,scpa-023137-0001,00:27:16,00:27:16,,George Blood Audio Video,,2013-09-24,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 042,,,,,,,,,,,"Madrigal Singers, NBC Christmas Concert, part 3, December 1971",Madrigal Singers Christmas 1971 NBC tape 3,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1971-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,drop outs; end cut off,yes,,,,,
UMAM,,,,,MAD 042,scpa-023138-0001,00:24:05,00:24:05,,George Blood Audio Video,,2013-09-24,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 043,,,,,,,,,,,"Madrigal Singers, NBC Christmas Concert, part 4, December 1971",Madrigal Singers Christmas 1971 NBC tape 4,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1971-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss,yes,,,,,
UMAM,,,,,MAD 043,scpa-023139-0001,00:25:35,00:25:35,,George Blood Audio Video,,2013-09-24,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 044,,,,,,,,,,,"Madrigal Singers, Songs of Christmas, undated",Madrigal Singers Song of Christmas,,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,undated,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss; hum; numerous pops throughout recording from recorder being turned off and on,yes,,,,,
UMAM,,,,,MAD 044,scpa-023140-0001,00:24:09,00:24:09,,George Blood Audio Video,,2013-09-24,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 045,,,,,,,,,,,"Madrigal Singers rehearsal, ""Noels in Art and Song,"" December 17","MD Madrigal Singers ""Noels in Art & Song"" Rehearsal",,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,19XX-12-17,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,beginning cut off; high audio levels begin at 00:00:32 in first files; interstitial error at 00:00:27 in first file; numerous pops in second file from recorder being turned off and on,yes,,,,,
UMAM,,,,,MAD 045,scpa-023141-0001,00:34:20,00:34:20,,George Blood Audio Video,,2013-09-24,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 045,scpa-023141-0002,00:29:29,00:29:29,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 046,,,,,,,,,,,"Madrigal Singers, New York, copy, Rhoda Grady, December 12",MD Madrigal Singers NY Copy (Rhoda Grady),,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,19XX-12-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,,yes,,,,,
UMAM,,,,,MAD 046,scpa-023142-0001,00:26:23,00:26:23,,George Blood Audio Video,,2013-09-24,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 047,,,,,,,,,,,"Madrigal Singers, Christmas Concert,""Noels in Art and Song,"" WBAL, part 2, December 1965",Madrigal Singers Xmas 1965 Noels in Art & Song WBAL #2 edited,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1965-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,interstitial error at 00:30:58,yes,,,,,
UMAM,,,,,MAD 047,scpa-023143-0001,00:31:35,00:31:35,,George Blood Audio Video,,2013-09-24,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 048,,,,,,,,,,,"Madrigal Singers, live show, Cigli Air Base, Turkey, January 12, 1966","Cigli Air Base, Turkey: Greetings, News, 90 Min Live Show",,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1966-01-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Turkey,Cigli,,beginning cut off; hiss; hum; high audio levels; speed flutters for many minutes at end of first file; numerous pops in second file from recorder being turned off an on,yes,,,,,
UMAM,,,,,MAD 048,scpa-023144-0001,01:07:02,01:07:02,,George Blood Audio Video,,2013-09-24,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 048,scpa-023144-0002,00:38:37,00:38:37,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 049,,,,,,,,,,,"University of Maryland Choir, October 10, 1965",University of Maryland Choir,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1965-10-10,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,"from technician's notes: ""Audio levels inconsistent on the original tape. Drop outs throughout.""; end of recording is stopped, slightly rewound, and played again",yes,,,,,
UMAM,,,,,MAD 049,scpa-023145-0001,00:36:52,00:36:52,,George Blood Audio Video,,2013-09-24,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 050,,,,,,,,,,,"Madrigal Singers, Christmas Concert,""Noels in Art and Song,"" WBAL, part 4, December 1965",Madrigal Singers Christmas 1965 Noels in Art & Song WBAL #4,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1965-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,,yes,,,,,
UMAM,,,,,MAD 050,scpa-023146-0001,00:27:06,00:27:06,,George Blood Audio Video,,2013-09-24,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 051,,,,,,,,,,,"Madrigal Singers, Christmas Concert,""Noels in Art and Song,"" WBAL, part 3, December 1965",Madrigal Singers Christmas 1965 Noels in Art & Song WBAL #3,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1965-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss; hum,yes,,,,,
UMAM,,,,,MAD 051,scpa-023147-0001,00:31:30,00:31:30,,George Blood Audio Video,,2013-09-24,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 052,,,,,,,,,,,"Madrigal Singers, Vamous ""Al Portal"" and Salas ""Christmas Lullaby,"" learning samples, undated",Madrigal Singers: Use as examples for learning- Vamous Al Portal & Salas Christmas Lullaby,,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,undated,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,blank section from 00:21:14 - 00:24:14 reduced to 30 seconds in derivatives; entire original recording is hot and Audition detects 397 possible clips; normalized the sound level of the derivatives at -3 dB,yes,,,,,
UMAM,,,,,MAD 052,scpa-023148-0001,00:26:25,00:26:25,,George Blood Audio Video,,2013-09-24,Studer A-80RCMKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 052,scpa-023148-0002,00:23:56 ,00:23:56 ,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 053,,,,,,,,,,,"Madrigal Singers, NBC ""Voices of Christmas,"" December 17, 1965","Madrigal Singers: ""Voices of Christmas"" NBC ",,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1965-12-17,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss; hum,yes,,,,,
UMAM,,,,,MAD 053,scpa-023149-0001,00:27:28,00:27:28,,George Blood Audio Video,,2013-09-24,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 054,,,,,,,,,,,"Madrigal Singers, ""Noels in Art and Song,"" WRC, December 17, 1965","Madrigal Singers WRC 1965 ""Noels in Art & Song""",,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1965-12-17,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,,yes,,,,,
UMAM,,,,,MAD 054,scpa-023150-0001,00:26:07,00:26:07,,George Blood Audio Video,,2013-09-24,Studer A-80QC,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 055,,,,,,,,,,,"Madrigal Singers, ""Noels in Art and Song,"" WRC, December 17, 1965",Noels in Art & Song WRC ,,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1965-12-17,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,missing five-second buffer at beginning and end of recording; hiss; hum ,yes,,,,,
UMAM,,,,,MAD 055,scpa-023151-0001,00:28:31,00:28:31,,George Blood Audio Video,,2013-09-24,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 056,,,,,,,,,,,"Madrigal Singers, ""Noels in Art and Song,"" WRC, part 1, December 1965",Madrigal Singers - Christmas 1965 Noels in Art & Song WBAL #1,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1965-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss; hum,yes,,,,,
UMAM,,,,,MAD 056,scpa-023152-0001,00:31:12,00:31:12,,George Blood Audio Video,,2013-09-24,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
