XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,Rights,Subjects,Genre,CreatedDateCertainty,DateAnalogCreated,Original BroadcastDate,SizeReel,TypeofMaterial,InchesperSecond,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,UMDM,UMAM,ShareStreamURLs
UMDM,WMUC-Reel-170,,,,,,,,,,,"Variety: ""You Must Remember This,"" March 19, 1976, 6 pm - 7 pm","""You Must Remember This"", 3/19/76, Reel 10 of 16",,"WMUC (Radio station : College Park, Md.)","""You Must Remember This,"" WMUC, University of Maryland, 6pm - 7pm, March 19, 1976.",,WMUC Archives,,4,University Archives,"University of Maryland (College Park, Md.)",,,,,1976-03-19,1976-03-19,10.5,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-170,bcast-019259-0001,01:00:00,01:00:00,high pitched hum affects entire recording,"Tape Tails out- Rewind for playback, Leave tape tails out after play, DO NOT ERASE - LIBRARY MASTER; DUB, LIBR, 7 1/2, Full",,stereo,DCMR,"Borchers, Henry",2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=768cf3583ef04bb
UMDM,WMUC-Reel-171,,,,,,,,,,,"Variety: ""You Must Remember This,"" March 19, 1976, 4 pm - 5 pm","""You Must Remember This"", 3/19/76, Reel 8 of 16",,"WMUC (Radio station : College Park, Md.)","Begins with five minutes of national news, segues into ""Yesternow"" music program and, halfway through, becomes the program ""You Must Remember This,"" WMUC, University of Maryland, 4pm - 5pm, March 19, 1976.",,WMUC Archives,,4,University Archives,"University of Maryland (College Park, Md.)",,,,,1976-03-19,1976-03-19,10.5,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-171,bcast-019261-0001,00:59:33,00:59:33,,"Tape Tails out- Rewind for playback, Leave tape tails out after play, DO NOT ERASE - LIBRARY MASTER; DUB, LIBR, 7 1/2, Full",,stereo,DCMR,"Borchers, Henry",2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=22bf67f5a4e4491
UMDM,WMUC-Reel-172,,,,,,,,,,,"Public Affairs program and Fire Safety Public Service message from USDA Forest Service, October 20, 1995 and undated","Labeled as: ""America on the Road"" undated & ""Mary Jo Povisil's Show"" 10/20/1995 ","Povicil, Mary Jo; Sanders, Bernie","WMUC (Radio station : College Park, Md.)","bcast-019336-0001 = Public Affairs interview with Bernie Sanders; bcast-019336-0002 = Fragment of additional unidentified program; public service announcements about the University of Maryland's Help Center, and fire prevention from USDA Forest Service. WMUC, University of Maryland, October 20, 1995 and undated.",,WMUC Archives,,4,University Archives,"University of Maryland (College Park, Md.)",,,,,1995-10-20,1995-10-20,10.5,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-172,bcast-019336-0001,01:07:32,00:32:09,"Contains fragments from an unidentified program and from a program called ""Your Opinion Counts""; fragments at beginning of bcast-019336-0001, program properly begins at 00:00:44; PSA found in reverse direction on end of tape",7.6 IPS 2TK Mono 1k@VU Tails; Do Not Erase!,,stereo,DCMR,"Borchers, Henry",2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=0954944ba9e64d3
UMAM,WMUC-Reel-172,bcast-019336-0002,01:07:32,00:01:46  ,"Contains fragments from an unidentified program and from a program called ""Your Opinion Counts""; fragments at beginning of bcast-019336-0001, program properly begins at 00:00:44; PSA found in reverse direction on end of tape",7.6 IPS 2TK Mono 1k@VU Tails; Do Not Erase!,,stereo,DCMR,"Borchers, Henry",2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9ec4c3b7a29140a
UMDM,WMUC-Reel-173,,,,,,,,,,,Nixon Inaugural Jan. 20th 1973,,,"WMUC (Radio station : College Park, Md.)","Richard Nixon's Presidential Inauguration, January 20, 1973.",,WMUC Archives,,4,University Archives,"University of Maryland (College Park, Md.)",,,,,1973-01-20,1973-01-20,10.5,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,"Washington, D.C.",,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-173,bcast-019267-0001,01:07:02,00:59:54,Edit at 00:00:48,tails out; 7.5 ips; half track mono,,mono,DCMR,"Cartier, Eric",2013-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=da8003c3ee85441
UMDM,WMUC-Reel-174,,,,,,,,,,,"President Nixon's State of the Union Speech to a Joint Session of Congress, Wednesday, January 30, 1974","President Nixon's State of the Union Speech to a Joint Session of Congress, 1/30/1974 9 PM (from ABC Net Line)",,"WMUC (Radio station : College Park, Md.)","Richard Nixon's State of the Union Speech, January 30, 1974.",,WMUC Archives,,4,University Archives,"University of Maryland (College Park, Md.)",,,,,1974-01-30,1974-01-30,10.5,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,"Washington, D.C.",,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-174,bcast-019271-0001,00:58:08,00:49:01,,,,mono,DCMR,"Borchers, Henry",2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=31333d9daeb748f
UMDM,WMUC-Reel-175,,,,,,,,,,,"Senator Sam Ervin, Chairman of the Senate Watergate Committee. Remarks on Watergate, and a Question and Answer Session with the Audience. April 8, 1974 7:30pm in the Grand Ballroom, Student Union",,,"WMUC (Radio station : College Park, Md.)","Senator Sam Ervin, Chairman of the Senate Watergate Committee. Remarks on Watergate, and a question and answer session with the audience in the Grand Ballroom, Student Union, University of Maryland, at 7:30pm on April 8, 1974.",,WMUC Archives,,4,University Archives,"University of Maryland (College Park, Md.)",,,,,1974-04-08,1974-04-08,10.5,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-175,bcast-019311-0001,01:06:12,01:05:42,Two half-track mono tracks with second recorded in the opposite direction. Hum during first couple of minutes and drop out from 01:03:05-01:03:13 on Side A. Captured on 2/22/2013 with RME Fireface,"Line Feed, 7.5 IPS. Both Sides",,mono,DCMR,"Borchers, Henry",2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=75428229c2ef41f
UMAM,WMUC-Reel-175,bcast-019311-0002,01:06:17,00:23:57,Two half-track mono tracks with second recorded in the opposite direction. Hum during first couple of minutes and drop out from 01:03:05-01:03:13 on Side A,"Line Feed, 7.5 IPS. Both Sides",,mono,DCMR,"Borchers, Henry",2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=8562572519bf4c9
UMDM,WMUC-Reel-176,,,,,,,,,,,"Fragment about Terrapin Basketball, undated","Labeled as ""Univ of Maryland Lacrosse vs Navy 4/22/78 Lilling/Rubin""",,"WMUC (Radio station : College Park, Md.)","Tape contains a fragment, 33 seconds in length, about Terrapin basketball, University of Maryland, undated.",,WMUC Archives,,4,University Archives,"University of Maryland (College Park, Md.)",,,,,undated,undated,10.5,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-176,bcast-019343-0001,01:01:48,00:00:33,,,,stereo,DCMR,"Borchers, Henry",2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=4dae596c01a74c6
UMDM,WMUC-Reel-177,,,,,,,,,,,"Unidentified rock band performance, undated","Labeled as ""Terrapin Weekly with Matt Nobel""",,"WMUC (Radio station : College Park, Md.)",Unidentified hardcore band playing in a studio setting for small audience. Undated.,,WMUC Archives,,4,University Archives,"University of Maryland (College Park, Md.)",,,,,undated,undated,10.5,"1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-177,bcast-019348-0001,00:56:45,00:48:06,,,Half,stereo,DCMR,"Borchers, Henry",2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=886581e93cbb470
UMDM,WMUC-Reel-178,,,,,,,,,,,The Classified @ WMUC Pot Luck 4/5/96,"The Classified @ WMUC Pot Luck April, 5 1996",,"WMUC (Radio station : College Park, Md.)","Ska band The Classified performs at the WMUC Pot Luck. Set contains the songs Bob Row Beat, Shopping Cart Shuffle, Rude Girl, John's Song, Han Solo, and Crazy Train. University of Maryland, April 5, 1996.",,WMUC Archives,,4,University Archives,"University of Maryland (College Park, Md.)",,,,,1996-04-05,1996-04-05,10.5,"1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,Sticky shed syndrome.,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-178,bcast-019349-0001,00:45:29,00:45:14,"Poor recording; dropouts throughout the recording, particularly at 34:44- 34-36, 43:41-43:45, 44:17-44:20, and 44:52-44:55",,,stereo,DCMR,"Borchers, Henry",2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=dbc288528a7d458
UMDM,WMUC-Reel-179,,,,,,,,,,,"Dremples/Corm at WMUC Potluck, 4/5/96; Fragment America on the Road, undated","Dremples/Corm at WMUC Potluck, 4/5/96; Fragment of American on the Road, undated",,"WMUC (Radio station : College Park, Md.)","Dremples/Corm at WMUC Potluck, University of Maryland; contains a fragment of a show about cars called America on the Road. April 5, 1996 and undated.",,WMUC Archives,2011-084,4,University Archives,"University of Maryland (College Park, Md.)",,,,,1996-04-05,1996-04-05,10.5,"1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,Sticky shed syndrome.,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-179,bcast-019378-0001,0:44:50,0:43:05,"Poor recording; dropouts throughout the recording, particularly at 00:05:40-00:05:43, 00:23:34-00:23:37, 00:41:34-00:41:37, and 00:42:34-00:42:37; these sections containing dropouts are from leader tape was spliced into the tape reel; Recorded at slightly slow than standard speed which makes the audio playback faster and higher pitch than intended; recording ends mid-song",,,Stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=7242ff5573584db
UMAM,WMUC-Reel-179,bcast-019378-0002,0:44:45,0:00:39,"Poor recording; dropouts throughout the recording, particularly at 00:05:40-00:05:43, 00:23:34-00:23:37, 00:41:34-00:41:37, and 00:42:34-00:42:37; these sections containing dropouts are from leader tape was spliced into the tape reel; Recorded at slightly slow than standard speed which makes the audio playback faster and higher pitch than intended; recording ends mid-song",,,Stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=47e690c0484f4b0
UMDM,WMUC-Reel-180,,,,,,,,,,,"Bill Holland interview at WMUC, fragment of sports news, and fragment of music, undated",Bill Holland Interview at WMUC,,"WMUC (Radio station : College Park, Md.)","Bill Holland of Bill Holland & the Rent's Due Band interview at WMUC; also contains fragments of a WMUC news program and a fragment of music. University of Maryland, undated.",,WMUC Archives,2011-084,4,University Archives,"University of Maryland (College Park, Md.)",,,,,undated,undated,10.5,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-180,bcast-019494-0001,00:44:22,00:44:09,Strange feedback loop at 00:41:15-00:41:16,,Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f5385d630ee647d
UMDM,WMUC-Reel-181,,,,,,,,,,,"Fragment of classical music performance, undated; Elliot Smith WMUC performance master copy, circa 1997",Elliot Smith WMUC performance,,"WMUC (Radio station : College Park, Md.)","Fragment of a classical music/brass band performance; Elliot Smith WMUC performance, University of Maryland. Circa 1997 and undated.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,circa,1997-xx-xx,1997-xx-xx,10.5,"1/4"" open reel tape",15,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-181,bcast-019553-0001,0:34:41,0:12:32,Removed calibration tones from the start of bcast-019553-0001; audio begins going in reverse on bcast-019553-0001 at 00:16:35 in the master; audio starts going in reverse on bcast-019553-0002 at 00:20:23 in the master.,,Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=e02e676a5b5142e
UMAM,WMUC-Reel-181,bcast-019553-0002,0:34:36,0:18:02,Removed calibration tones from the start of bcast-019553-0001; audio begins going in reverse on bcast-019553-0001 at 00:16:35 in the master; audio starts going in reverse on bcast-019553-0002 at 00:20:23 in the master.,,Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=7b98db7ce1384ce
UMDM,WMUC-Reel-182,,,,,,,,,,,WMUC station identifications,Labeled as Debbie Harry recording,,"WMUC (Radio station : College Park, Md.)","Rough recordings of station identifications for WMUC by The Black [indecipherable] Band and The Bodeans. University of Maryland, undated.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,undated,undated,7,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-182,bcast-019549-0001,00:27:04,00:04:41,It is hard to make out the first band's full name because of the distorted recording due to heavy tape saturation when original recording was recorded too hot. ,,,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=13dd965630cd46d
